Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS,Year,Pts Won,season_date
Gilbert Arenas,6.0,15.1,0.398,1.7,6.0,0.282,4.3,9.1,0.475,0.454,5.7,7.4,0.771,19.4,2008,0.0,2008-01-01
Andray Blatche,3.1,6.5,0.474,0.0,0.2,0.231,3.1,6.4,0.48,0.477,1.3,1.9,0.695,7.5,2008,0.0,2008-01-01
Caron Butler,7.6,16.3,0.466,1.1,3.2,0.357,6.4,13.1,0.492,0.501,4.1,4.5,0.901,20.3,2008,0.0,2008-01-01
Antonio Daniels,2.9,6.3,0.459,0.2,1.0,0.23,2.6,5.3,0.504,0.478,2.4,3.1,0.776,8.4,2008,0.0,2008-01-01
Brendan Haywood,4.0,7.5,0.528,0.0,0.0,0.0,4.0,7.5,0.528,0.528,2.7,3.7,0.735,10.6,2008,0.0,2008-01-01
Antawn Jamison,7.8,17.9,0.436,1.5,4.5,0.339,6.3,13.5,0.468,0.478,4.2,5.5,0.76,21.4,2008,1.0,2008-01-01
Roger Mason,3.3,7.5,0.443,1.6,4.1,0.398,1.7,3.4,0.498,0.552,0.8,0.9,0.873,9.1,2008,0.0,2008-01-01
Dominic Mcguire,0.6,1.5,0.379,0.0,0.1,0.167,0.5,1.4,0.392,0.383,0.2,0.5,0.438,1.3,2008,0.0,2008-01-01
Oleksiy Pecherov,1.3,3.6,0.352,0.5,1.7,0.283,0.8,1.9,0.415,0.42,0.6,0.9,0.645,3.6,2008,0.0,2008-01-01
Darius Songaila,2.7,5.8,0.458,0.0,0.0,0.0,2.7,5.8,0.46,0.458,0.8,0.9,0.918,6.2,2008,0.0,2008-01-01
Deshawn Stevenson,3.7,9.5,0.386,1.9,5.0,0.383,1.7,4.5,0.39,0.487,1.9,2.4,0.797,11.2,2008,0.0,2008-01-01
Nick Young,2.8,6.4,0.439,0.5,1.3,0.4,2.3,5.0,0.45,0.481,1.3,1.7,0.815,7.5,2008,0.0,2008-01-01
Gilbert Arenas,3.0,11.5,0.261,1.0,3.5,0.286,2.0,8.0,0.25,0.304,6.0,8.0,0.75,13.0,2009,0.0,2009-01-01
Andray Blatche,4.2,8.9,0.471,0.1,0.3,0.238,4.1,8.6,0.479,0.475,1.6,2.3,0.704,10.0,2009,0.0,2009-01-01
Caron Butler,7.3,16.2,0.453,1.0,3.1,0.31,6.4,13.1,0.487,0.482,5.1,6.0,0.858,20.8,2009,0.0,2009-01-01
Javaris Crittenton,2.1,4.5,0.46,0.0,0.2,0.133,2.0,4.3,0.478,0.463,0.8,1.5,0.576,5.0,2009,0.0,2009-01-01
Juan Dixon,2.0,5.1,0.395,0.5,1.5,0.333,1.5,3.6,0.42,0.443,0.7,0.8,0.872,5.2,2009,0.0,2009-01-01
Brendan Haywood,4.0,8.3,0.48,0.0,0.0,0.0,4.0,8.3,0.48,0.48,1.7,3.5,0.476,9.7,2009,0.0,2009-01-01
Mike James,3.2,8.4,0.383,1.1,3.0,0.375,2.1,5.4,0.388,0.45,1.1,1.3,0.829,8.7,2009,0.0,2009-01-01
Mike James,3.2,8.4,0.383,1.1,3.0,0.375,2.1,5.4,0.388,0.45,1.1,1.3,0.829,8.7,2009,0.0,2009-01-01
Antawn Jamison,8.3,17.8,0.468,1.4,3.9,0.351,6.9,13.9,0.501,0.507,4.2,5.6,0.754,22.2,2009,0.0,2009-01-01
Javale Mcgee,2.5,5.2,0.494,0.0,0.0,0.0,2.5,5.2,0.494,0.494,1.4,2.2,0.66,6.5,2009,0.0,2009-01-01
Dominic Mcguire,1.8,4.1,0.432,0.0,0.1,0.5,1.7,4.1,0.431,0.435,0.9,1.3,0.725,4.5,2009,0.0,2009-01-01
Oleksiy Pecherov,1.2,3.2,0.386,0.4,1.3,0.326,0.8,1.8,0.431,0.455,0.8,0.9,0.828,3.6,2009,0.0,2009-01-01
Darius Songaila,3.2,5.9,0.532,0.0,0.0,0.0,3.2,5.9,0.533,0.532,1.0,1.2,0.889,7.4,2009,0.0,2009-01-01
Deshawn Stevenson,2.3,7.2,0.312,1.1,4.0,0.271,1.2,3.2,0.363,0.387,1.0,1.9,0.533,6.6,2009,0.0,2009-01-01
Etan Thomas,1.2,2.5,0.485,0.0,0.0,0.0,1.2,2.5,0.485,0.485,0.6,0.9,0.696,3.1,2009,0.0,2009-01-01
Nick Young,4.1,9.2,0.444,0.7,2.0,0.341,3.4,7.2,0.473,0.481,2.0,2.4,0.85,10.9,2009,0.0,2009-01-01
Gilbert Arenas,7.9,19.3,0.411,2.0,5.7,0.348,5.9,13.6,0.437,0.462,4.8,6.5,0.739,22.6,2010,0.0,2010-01-01
Andray Blatche,5.9,12.3,0.478,0.2,0.5,0.295,5.7,11.8,0.487,0.485,2.1,2.9,0.744,14.1,2010,0.0,2010-01-01
Earl Boykins,2.6,6.0,0.427,0.3,0.9,0.317,2.3,5.1,0.446,0.45,1.1,1.3,0.865,6.6,2010,0.0,2010-01-01
Paul Davis,1.0,2.0,0.5,0.0,0.0,0.0,1.0,2.0,0.5,0.5,0.5,1.0,0.5,2.5,2010,0.0,2010-01-01
Randy Foye,3.7,8.8,0.414,0.9,2.6,0.346,2.8,6.2,0.442,0.464,1.8,2.1,0.89,10.1,2010,0.0,2010-01-01
Alonzo Gee,2.5,5.4,0.475,0.6,0.8,0.778,1.9,4.5,0.42,0.534,1.6,2.6,0.621,7.4,2010,0.0,2010-01-01
Mike Harris,0.8,2.3,0.367,0.0,0.1,0.0,0.8,2.2,0.379,0.367,0.5,0.8,0.636,2.2,2010,0.0,2010-01-01
Josh Howard,4.5,11.1,0.405,0.7,2.5,0.267,3.8,8.6,0.444,0.434,3.1,4.0,0.784,12.7,2010,0.0,2010-01-01
Cedric Jackson,0.5,1.7,0.3,0.1,0.5,0.167,0.4,1.2,0.357,0.325,0.6,1.0,0.583,1.7,2010,0.0,2010-01-01
Mike James,1.5,5.0,0.3,0.5,1.5,0.333,1.0,3.5,0.286,0.35,1.0,2.0,0.5,4.5,2010,0.0,2010-01-01
Mike James,1.5,5.0,0.3,0.5,1.5,0.333,1.0,3.5,0.286,0.35,1.0,2.0,0.5,4.5,2010,0.0,2010-01-01
Shaun Livingston,2.9,5.6,0.517,0.0,0.2,0.0,2.9,5.4,0.533,0.517,1.2,1.3,0.875,6.9,2010,0.0,2010-01-01
Cartier Martin,2.8,7.6,0.368,0.9,2.7,0.347,1.8,4.8,0.379,0.43,1.3,1.7,0.8,7.8,2010,0.0,2010-01-01
Javale Mcgee,2.6,5.1,0.508,0.0,0.0,0.0,2.6,5.1,0.51,0.508,1.2,1.9,0.638,6.4,2010,0.0,2010-01-01
Mike Miller,4.0,8.0,0.501,1.5,3.2,0.48,2.5,4.9,0.515,0.596,1.3,1.6,0.824,10.9,2010,0.0,2010-01-01
Fabricio Oberto,0.6,1.0,0.625,0.0,0.0,0.0,0.6,1.0,0.625,0.625,0.2,0.3,0.765,1.5,2010,0.0,2010-01-01
Quinton Ross,0.8,2.1,0.36,0.1,0.4,0.19,0.7,1.7,0.4,0.378,0.2,0.3,0.571,1.8,2010,0.0,2010-01-01
James Singleton,1.7,4.5,0.382,0.1,0.6,0.189,1.6,3.8,0.415,0.396,0.9,1.1,0.855,4.5,2010,0.0,2010-01-01
Al Thornton,4.3,9.0,0.473,0.1,0.4,0.355,4.1,8.6,0.479,0.482,2.0,2.8,0.725,10.7,2010,0.0,2010-01-01
Nick Young,3.1,7.5,0.418,0.9,2.3,0.406,2.2,5.2,0.423,0.479,1.4,1.8,0.8,8.6,2010,0.0,2010-01-01
Trevor Ariza,2.2,4.9,0.442,0.0,0.2,0.231,2.1,4.7,0.449,0.446,1.5,2.2,0.695,5.9,2005,0.0,2005-01-01
Jamison Brewer,0.6,2.1,0.297,0.2,0.8,0.2,0.4,1.2,0.364,0.338,0.3,0.7,0.462,1.7,2005,0.0,2005-01-01
Jackie Butler,1.3,1.3,1.0,0.0,0.0,0.0,1.3,1.3,1.0,1.0,0.7,0.7,1.0,3.3,2005,0.0,2005-01-01
Jamal Crawford,6.2,15.7,0.398,2.6,7.3,0.361,3.6,8.4,0.431,0.483,2.6,3.1,0.843,17.7,2005,0.0,2005-01-01
Anfernee Hardaway,3.0,7.0,0.423,0.4,1.4,0.3,2.6,5.7,0.452,0.452,0.9,1.2,0.739,7.3,2005,0.0,2005-01-01
Allan Houston,4.3,10.3,0.415,1.6,4.0,0.388,2.7,6.3,0.432,0.49,1.8,2.2,0.837,11.9,2005,0.0,2005-01-01
Jermaine Jackson,0.8,1.6,0.515,0.0,0.1,0.0,0.8,1.5,0.548,0.515,0.4,0.6,0.615,2.0,2005,0.0,2005-01-01
Stephon Marbury,7.4,16.0,0.462,1.4,4.0,0.354,6.0,12.0,0.497,0.506,5.6,6.7,0.834,21.7,2005,0.0,2005-01-01
Malik Rose,2.6,5.8,0.449,0.0,0.1,0.1,2.6,5.7,0.457,0.45,1.8,2.4,0.737,7.0,2005,0.0,2005-01-01
Bruno Šundov,0.5,1.8,0.297,0.0,0.1,0.333,0.5,1.6,0.294,0.311,0.1,0.1,1.0,1.2,2005,0.0,2005-01-01
Mike Sweetney,3.1,5.8,0.531,0.0,0.0,0.0,3.1,5.8,0.533,0.531,2.3,3.1,0.749,8.4,2005,0.0,2005-01-01
Maurice Taylor,3.1,6.9,0.455,0.0,0.1,0.333,3.1,6.7,0.458,0.459,1.0,1.6,0.612,7.3,2005,0.0,2005-01-01
Kurt Thomas,5.3,11.3,0.471,0.0,0.1,0.5,5.3,11.2,0.47,0.472,0.8,1.1,0.786,11.5,2005,0.0,2005-01-01
Tim Thomas,4.4,10.1,0.439,1.2,2.9,0.409,3.2,7.2,0.451,0.498,1.9,2.4,0.786,12.0,2005,0.0,2005-01-01
Jerome Williams,1.5,3.1,0.502,0.0,0.1,0.0,1.5,3.0,0.513,0.502,1.5,2.2,0.669,4.5,2005,0.0,2005-01-01
Trevor Ariza,1.6,4.0,0.412,0.0,0.1,0.2,1.6,3.9,0.416,0.414,1.4,2.2,0.606,4.6,2006,0.0,2006-01-01
Carlos Arroyo,2.2,4.9,0.444,0.1,0.3,0.35,2.1,4.6,0.45,0.454,1.4,1.8,0.774,5.8,2006,0.0,2006-01-01
Stacey Augmon,0.7,2.0,0.342,0.0,0.0,0.0,0.7,2.0,0.342,0.342,0.6,0.8,0.7,2.0,2006,0.0,2006-01-01
Tony Battie,3.4,6.7,0.507,0.0,0.1,0.0,3.4,6.7,0.513,0.507,1.1,1.6,0.664,7.9,2006,0.0,2006-01-01
Travis Diener,1.3,3.0,0.42,1.1,2.5,0.439,0.2,0.5,0.333,0.601,0.2,0.3,0.833,3.8,2006,0.0,2006-01-01
Keyon Dooling,3.6,8.1,0.44,0.3,0.9,0.302,3.3,7.2,0.456,0.456,2.0,2.4,0.835,9.4,2006,0.0,2006-01-01
Pat Garrity,1.8,4.2,0.417,0.9,2.3,0.388,0.9,2.0,0.451,0.521,0.5,0.6,0.811,4.9,2006,0.0,2006-01-01
Grant Hill,5.7,11.6,0.49,0.1,0.4,0.25,5.6,11.2,0.498,0.494,3.7,4.9,0.765,15.1,2006,0.0,2006-01-01
Dwight Howard,5.7,10.7,0.531,0.0,0.0,0.0,5.7,10.7,0.532,0.531,4.3,7.3,0.595,15.8,2006,0.0,2006-01-01
Mario Kasun,1.1,2.5,0.449,0.0,0.0,0.0,1.1,2.5,0.449,0.449,0.6,0.8,0.783,2.9,2006,0.0,2006-01-01
Darko Miličić,2.2,4.3,0.509,0.0,0.0,0.0,2.2,4.2,0.513,0.509,0.5,0.9,0.56,4.8,2006,0.0,2006-01-01
Terence Morris,0.7,2.2,0.327,0.0,0.1,0.0,0.7,2.1,0.34,0.327,0.1,0.1,1.0,1.6,2006,0.0,2006-01-01
Jameer Nelson,5.6,11.6,0.483,1.1,2.7,0.424,4.5,8.9,0.5,0.531,2.3,2.9,0.779,14.6,2006,0.0,2006-01-01
Bo Outlaw,1.1,1.8,0.603,0.0,0.0,0.0,1.1,1.8,0.603,0.603,0.2,0.3,0.625,2.3,2006,0.0,2006-01-01
Deshawn Stevenson,4.4,9.5,0.46,0.0,0.2,0.133,4.4,9.3,0.466,0.461,2.2,3.0,0.744,11.0,2006,0.0,2006-01-01
Hedo Türkoğlu,5.1,11.2,0.454,1.5,3.6,0.403,3.6,7.6,0.478,0.519,3.3,3.8,0.861,14.9,2006,0.0,2006-01-01
Trevor Ariza,3.5,6.5,0.539,0.0,0.1,0.0,3.5,6.4,0.549,0.539,1.9,3.0,0.62,8.9,2007,0.0,2007-01-01
Carlos Arroyo,2.8,6.6,0.425,0.2,0.7,0.275,2.6,5.9,0.443,0.439,1.8,2.3,0.795,7.7,2007,0.0,2007-01-01
James Augustine,0.5,1.5,0.333,0.0,0.0,0.0,0.5,1.5,0.333,0.333,0.0,0.0,0.0,1.0,2007,0.0,2007-01-01
Tony Battie,2.7,5.5,0.489,0.0,0.0,0.0,2.7,5.4,0.49,0.489,0.8,1.2,0.675,6.1,2007,0.0,2007-01-01
Keith Bogans,1.7,4.2,0.404,0.9,2.3,0.387,0.8,1.8,0.426,0.512,0.8,1.1,0.746,5.1,2007,0.0,2007-01-01
Travis Diener,1.3,3.1,0.425,0.7,1.9,0.36,0.6,1.2,0.533,0.538,0.5,0.6,0.8,3.8,2007,0.0,2007-01-01
Keyon Dooling,2.8,6.9,0.41,0.5,1.5,0.323,2.4,5.5,0.434,0.444,1.7,2.1,0.809,7.9,2007,0.0,2007-01-01
Pat Garrity,0.7,2.1,0.314,0.3,1.0,0.344,0.3,1.2,0.289,0.393,0.5,0.5,0.889,2.2,2007,0.0,2007-01-01
Grant Hill,5.3,10.2,0.518,0.0,0.2,0.167,5.2,10.0,0.525,0.52,3.8,5.0,0.765,14.4,2007,0.0,2007-01-01
Dwight Howard,6.4,10.6,0.603,0.0,0.0,0.5,6.4,10.6,0.603,0.603,4.8,8.1,0.586,17.6,2007,0.0,2007-01-01
Darko Miličić,3.1,6.9,0.454,0.0,0.0,0.0,3.1,6.8,0.455,0.454,1.8,2.9,0.613,8.0,2007,0.0,2007-01-01
Jameer Nelson,4.9,11.4,0.43,0.8,2.5,0.335,4.0,8.8,0.457,0.467,2.4,2.9,0.828,13.0,2007,0.0,2007-01-01
Bo Outlaw,0.8,1.2,0.667,0.0,0.0,0.0,0.8,1.2,0.667,0.667,0.3,0.5,0.591,2.0,2007,0.0,2007-01-01
J.J. Redick,1.9,4.6,0.41,0.9,2.3,0.388,1.0,2.3,0.433,0.508,1.3,1.4,0.9,6.0,2007,0.0,2007-01-01
Hedo Türkoğlu,4.7,11.3,0.419,1.5,3.8,0.388,3.2,7.4,0.435,0.485,2.3,3.0,0.781,13.3,2007,0.0,2007-01-01
Trevor Ariza,2.0,3.9,0.507,0.1,0.5,0.278,1.8,3.4,0.542,0.526,1.4,2.1,0.653,5.5,2008,0.0,2008-01-01
Kobe Bryant,9.5,20.6,0.459,1.8,5.1,0.361,7.6,15.5,0.49,0.503,7.6,9.0,0.84,28.3,2008,1100.0,2008-01-01
Andrew Bynum,5.4,8.5,0.636,0.0,0.0,0.0,5.4,8.5,0.636,0.636,2.3,3.4,0.695,13.1,2008,0.0,2008-01-01
Jordan Farmar,3.5,7.7,0.461,1.4,3.7,0.371,2.2,4.0,0.546,0.552,0.6,1.0,0.679,9.1,2008,0.0,2008-01-01
Derek Fisher,4.1,9.5,0.436,1.4,3.4,0.406,2.8,6.1,0.453,0.508,2.0,2.3,0.883,11.7,2008,0.0,2008-01-01
Pau Gasol,7.2,13.5,0.534,0.1,0.2,0.25,7.1,13.2,0.539,0.536,4.4,5.5,0.807,18.9,2008,0.0,2008-01-01
D.J. Mbenga,0.9,2.0,0.464,0.0,0.0,0.0,0.9,2.0,0.464,0.464,0.1,0.3,0.417,2.0,2008,0.0,2008-01-01
Coby Karl,0.5,1.5,0.346,0.2,0.8,0.308,0.3,0.8,0.385,0.423,0.5,0.6,0.8,1.8,2008,0.0,2008-01-01
Chris Mihm,1.4,4.1,0.337,0.0,0.0,0.0,1.4,4.1,0.337,0.337,0.8,1.2,0.667,3.6,2008,0.0,2008-01-01
Ira Newble,1.6,3.6,0.437,0.3,1.0,0.327,1.2,2.6,0.48,0.483,0.4,0.5,0.769,3.8,2008,0.0,2008-01-01
Lamar Odom,5.4,10.3,0.525,0.4,1.5,0.274,5.0,8.9,0.566,0.544,3.0,4.3,0.698,14.2,2008,0.0,2008-01-01
Vladimir Radmanović,3.0,6.7,0.453,1.5,3.6,0.406,1.6,3.1,0.507,0.562,0.8,1.0,0.8,8.4,2008,0.0,2008-01-01
Ronny Turiaf,2.4,5.1,0.474,0.0,0.0,0.0,2.4,5.1,0.475,0.474,1.8,2.4,0.753,6.6,2008,0.0,2008-01-01
Sasha Vujačić,3.0,6.7,0.454,1.6,3.8,0.437,1.4,2.9,0.476,0.577,1.1,1.3,0.835,8.8,2008,0.0,2008-01-01
Luke Walton,2.9,6.5,0.45,0.4,1.1,0.333,2.5,5.3,0.475,0.479,1.0,1.5,0.706,7.2,2008,0.0,2008-01-01
Trevor Ariza,3.3,7.3,0.46,0.7,2.3,0.319,2.6,4.9,0.526,0.511,1.5,2.1,0.71,8.9,2009,0.0,2009-01-01
Shannon Brown,1.6,3.4,0.473,0.3,0.8,0.378,1.3,2.7,0.5,0.515,0.7,0.8,0.821,4.2,2009,0.0,2009-01-01
Kobe Bryant,9.8,20.9,0.467,1.4,4.1,0.351,8.3,16.8,0.496,0.502,5.9,6.9,0.856,26.8,2009,698.0,2009-01-01
Andrew Bynum,5.6,10.0,0.56,0.0,0.0,0.0,5.6,10.0,0.56,0.56,3.0,4.3,0.707,14.3,2009,0.0,2009-01-01
Jordan Farmar,2.5,6.3,0.391,0.8,2.2,0.336,1.7,4.1,0.421,0.45,0.7,1.2,0.584,6.4,2009,0.0,2009-01-01
Derek Fisher,3.6,8.4,0.424,1.5,3.7,0.397,2.1,4.7,0.446,0.512,1.3,1.6,0.846,9.9,2009,0.0,2009-01-01
Pau Gasol,7.3,12.9,0.567,0.0,0.0,0.5,7.3,12.9,0.567,0.567,4.2,5.4,0.781,18.9,2009,0.0,2009-01-01
D.J. Mbenga,1.2,2.5,0.474,0.0,0.0,0.0,1.2,2.4,0.482,0.474,0.3,0.3,0.875,2.7,2009,0.0,2009-01-01
Chris Mihm,0.8,2.2,0.375,0.0,0.0,0.0,0.8,2.2,0.375,0.375,0.3,0.4,0.857,2.0,2009,0.0,2009-01-01
Adam Morrison,1.5,4.3,0.359,0.6,1.8,0.333,0.9,2.4,0.378,0.43,0.3,0.4,0.739,4.0,2009,0.0,2009-01-01
Lamar Odom,4.4,9.0,0.492,0.4,1.3,0.32,4.0,7.7,0.522,0.516,2.1,3.3,0.623,11.3,2009,0.0,2009-01-01
Josh Powell,1.8,4.0,0.444,0.0,0.0,0.0,1.8,4.0,0.444,0.444,0.6,0.8,0.76,4.2,2009,0.0,2009-01-01
Sasha Vujačić,1.9,5.0,0.387,1.0,2.8,0.363,0.9,2.2,0.416,0.488,0.9,1.0,0.921,5.8,2009,0.0,2009-01-01
Luke Walton,2.1,4.7,0.436,0.3,0.9,0.298,1.8,3.8,0.468,0.464,0.6,0.9,0.719,5.0,2009,0.0,2009-01-01
Sun Yue,0.3,1.1,0.273,0.0,0.6,0.0,0.3,0.5,0.6,0.273,0.0,0.0,0.0,0.6,2009,0.0,2009-01-01
Trevor Ariza,3.4,8.1,0.417,1.4,3.7,0.364,2.0,4.3,0.463,0.501,1.4,1.7,0.821,9.5,2013,0.0,2013-01-01
Bradley Beal,5.0,12.3,0.41,1.6,4.2,0.386,3.4,8.1,0.424,0.477,2.2,2.8,0.786,13.9,2013,0.0,2013-01-01
Trevor Booker,2.3,4.6,0.491,0.0,0.1,0.0,2.3,4.5,0.502,0.491,0.8,1.5,0.556,5.3,2013,0.0,2013-01-01
Jason Collins,0.2,0.8,0.31,0.0,0.0,0.0,0.2,0.8,0.31,0.31,0.6,0.8,0.719,1.1,2013,0.0,2013-01-01
Nenê,4.7,9.7,0.48,0.0,0.0,0.0,4.7,9.7,0.481,0.48,3.2,4.4,0.729,12.6,2013,0.0,2013-01-01
Cartier Martin,2.3,6.1,0.381,1.4,3.6,0.397,0.9,2.6,0.358,0.496,0.5,0.7,0.714,6.6,2013,0.0,2013-01-01
Emeka Okafor,4.2,8.7,0.477,0.0,0.0,0.0,4.2,8.7,0.477,0.477,1.4,2.4,0.571,9.7,2013,0.0,2013-01-01
A.J. Price,2.8,7.2,0.39,1.2,3.5,0.35,1.6,3.7,0.427,0.475,0.9,1.1,0.79,7.7,2013,0.0,2013-01-01
Kevin Séraphin,4.2,9.1,0.461,0.0,0.0,0.0,4.2,9.1,0.461,0.461,0.8,1.1,0.693,9.1,2013,0.0,2013-01-01
Chris Singleton,1.6,4.2,0.382,0.1,0.6,0.194,1.5,3.6,0.415,0.396,0.7,1.2,0.571,4.1,2013,0.0,2013-01-01
Garrett Temple,2.1,5.1,0.407,0.5,1.6,0.325,1.5,3.5,0.444,0.457,0.5,0.7,0.703,5.1,2013,0.0,2013-01-01
Jan Veselý,1.1,2.2,0.5,0.0,0.0,0.0,1.1,2.2,0.504,0.5,0.2,0.8,0.308,2.5,2013,0.0,2013-01-01
John Wall,6.6,15.0,0.441,0.2,0.9,0.267,6.4,14.1,0.452,0.449,5.0,6.2,0.804,18.5,2013,0.0,2013-01-01
Martell Webster,3.7,8.4,0.442,1.8,4.3,0.422,1.9,4.0,0.463,0.551,2.2,2.6,0.848,11.4,2013,0.0,2013-01-01
Trevor Ariza,5.1,11.1,0.456,2.3,5.7,0.407,2.7,5.3,0.509,0.562,1.9,2.5,0.772,14.4,2014,0.0,2014-01-01
Bradley Beal,6.6,15.7,0.419,1.9,4.7,0.402,4.7,11.0,0.426,0.479,2.0,2.6,0.788,17.1,2014,0.0,2014-01-01
Trevor Booker,3.1,5.6,0.551,0.0,0.0,0.0,3.1,5.6,0.554,0.551,0.7,1.1,0.618,6.8,2014,0.0,2014-01-01
Drew Gooden,3.5,6.5,0.531,0.3,0.8,0.412,3.1,5.7,0.548,0.556,1.1,1.2,0.889,8.3,2014,0.0,2014-01-01
Marcin Gortat,5.6,10.4,0.542,0.0,0.0,1.0,5.6,10.4,0.541,0.542,1.9,2.8,0.686,13.2,2014,0.0,2014-01-01
Al Harrington,2.4,6.1,0.396,1.0,2.9,0.34,1.4,3.1,0.449,0.478,0.8,1.0,0.771,6.6,2014,0.0,2014-01-01
Nenê,5.6,11.2,0.503,0.0,0.1,0.2,5.6,11.1,0.506,0.504,2.9,5.0,0.583,14.2,2014,0.0,2014-01-01
Andre Miller,1.8,4.0,0.459,0.2,0.4,0.524,1.6,3.6,0.452,0.483,1.0,1.3,0.779,4.9,2014,0.0,2014-01-01
Otto Porter Jr.,0.9,2.5,0.363,0.1,0.6,0.19,0.8,1.9,0.414,0.385,0.2,0.3,0.667,2.1,2014,0.0,2014-01-01
Glen Rice Jr.,1.0,3.4,0.297,0.5,1.5,0.294,0.5,1.8,0.3,0.365,0.5,0.6,0.714,2.9,2014,0.0,2014-01-01
Kevin Séraphin,2.1,4.2,0.505,0.0,0.0,0.0,2.1,4.2,0.505,0.505,0.5,0.6,0.871,4.7,2014,0.0,2014-01-01
Chris Singleton,1.0,2.7,0.373,0.3,0.8,0.368,0.7,1.9,0.375,0.425,0.7,1.0,0.72,3.0,2014,0.0,2014-01-01
Garrett Temple,0.7,1.9,0.362,0.1,0.4,0.207,0.6,1.5,0.402,0.383,0.4,0.6,0.698,1.8,2014,0.0,2014-01-01
John Wall,7.1,16.3,0.433,1.3,3.8,0.351,5.7,12.5,0.458,0.473,3.9,4.8,0.805,19.3,2014,0.0,2014-01-01
Martell Webster,3.3,7.5,0.433,1.9,4.8,0.392,1.4,2.8,0.502,0.557,1.3,1.6,0.84,9.7,2014,0.0,2014-01-01
Trevor Ariza,4.5,11.1,0.402,2.4,6.8,0.35,2.1,4.3,0.485,0.509,1.5,1.7,0.853,12.8,2015,0.0,2015-01-01
Patrick Beverley,3.6,9.5,0.383,2.1,5.8,0.356,1.6,3.7,0.426,0.492,0.8,1.1,0.75,10.1,2015,0.0,2015-01-01
Corey Brewer,4.3,10.1,0.426,0.8,2.9,0.268,3.5,7.1,0.491,0.465,2.1,2.8,0.743,11.5,2015,0.0,2015-01-01
Clint Capela,1.2,2.4,0.483,0.0,0.0,0.0,1.2,2.4,0.483,0.483,0.3,1.9,0.174,2.7,2015,0.0,2015-01-01
Joey Dorsey,1.2,2.1,0.552,0.0,0.0,0.0,1.2,2.1,0.556,0.552,0.3,1.2,0.289,2.7,2015,0.0,2015-01-01
Francisco García,1.2,4.5,0.27,0.7,3.2,0.222,0.5,1.3,0.389,0.349,0.1,0.3,0.25,3.2,2015,0.0,2015-01-01
James Harden,8.0,18.1,0.44,2.6,6.9,0.375,5.4,11.3,0.48,0.511,8.8,10.2,0.868,27.4,2015,936.0,2015-01-01
Dwight Howard,6.1,10.3,0.593,0.0,0.0,0.5,6.1,10.3,0.594,0.595,3.5,6.6,0.528,15.8,2015,0.0,2015-01-01
Nick Johnson,0.9,2.7,0.347,0.2,0.8,0.238,0.8,1.9,0.389,0.38,0.6,0.9,0.68,2.6,2015,0.0,2015-01-01
Terrence Jones,4.8,9.1,0.528,0.4,1.1,0.351,4.4,7.9,0.553,0.55,1.7,2.8,0.606,11.7,2015,0.0,2015-01-01
K.J. Mcdaniels,2.8,7.0,0.396,0.7,2.4,0.287,2.1,4.6,0.454,0.446,1.6,2.1,0.752,7.9,2015,0.0,2015-01-01
Donatas Motiejūnas,5.0,9.9,0.504,0.7,1.9,0.368,4.3,8.0,0.536,0.539,1.4,2.3,0.602,12.0,2015,0.0,2015-01-01
Kostas Papanikolaou,1.6,4.6,0.35,0.7,2.5,0.292,0.9,2.1,0.418,0.429,0.3,0.4,0.722,4.2,2015,0.0,2015-01-01
Pablo Prigioni,1.4,3.4,0.399,0.9,2.5,0.343,0.5,0.9,0.548,0.524,0.5,0.6,0.854,4.1,2015,0.0,2015-01-01
Jason Terry,2.4,5.8,0.422,1.6,4.2,0.39,0.8,1.6,0.504,0.563,0.5,0.6,0.813,7.0,2015,0.0,2015-01-01
Trevor Ariza,4.4,10.6,0.416,2.3,6.2,0.371,2.1,4.4,0.478,0.523,1.6,2.0,0.783,12.7,2016,0.0,2016-01-01
Michael Beasley,5.4,10.3,0.522,0.2,0.5,0.333,5.2,9.8,0.531,0.529,1.9,2.5,0.776,12.8,2016,0.0,2016-01-01
Patrick Beverley,3.6,8.4,0.434,1.7,4.4,0.4,1.9,4.0,0.472,0.539,0.8,1.2,0.682,9.9,2016,0.0,2016-01-01
Corey Brewer,2.6,6.7,0.384,0.7,2.7,0.272,1.8,4.0,0.46,0.439,1.3,1.7,0.75,7.2,2016,0.0,2016-01-01
Clint Capela,3.0,5.2,0.582,0.0,0.0,0.0,3.0,5.1,0.583,0.582,1.0,2.7,0.379,7.0,2016,0.0,2016-01-01
Sam Dekker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2016,0.0,2016-01-01
Andrew Goudelock,1.1,2.5,0.45,0.1,1.1,0.111,1.0,1.4,0.727,0.475,0.4,0.5,0.75,2.8,2016,0.0,2016-01-01
James Harden,8.7,19.7,0.439,2.9,8.0,0.359,5.8,11.7,0.494,0.512,8.8,10.2,0.86,29.0,2016,9.0,2016-01-01
Montrezl Harrell,1.5,2.3,0.644,0.0,0.0,0.0,1.5,2.3,0.652,0.644,0.6,1.2,0.522,3.6,2016,0.0,2016-01-01
