Player,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,PTS,Year,Pts Won,season_date
Gary Plummer,1.8,3.8,0.465,0.0,0.1,0.0,1.8,3.8,0.471,0.465,1.2,1.6,0.726,4.7,1993,0.0,1993-01-01
Bryant Stith,3.2,7.1,0.446,0.0,0.1,0.0,3.2,7.0,0.453,0.446,2.5,3.1,0.832,8.9,1993,0.0,1993-01-01
Robert Werdann,0.6,2.1,0.305,0.0,0.0,0.0,0.6,2.1,0.31,0.305,0.6,1.1,0.548,1.9,1993,0.0,1993-01-01
Reggie Williams,6.8,14.8,0.458,0.4,1.5,0.27,6.4,13.2,0.48,0.473,3.0,3.7,0.804,17.0,1993,0.0,1993-01-01
Reggie Williams,6.8,14.8,0.458,0.4,1.5,0.27,6.4,13.2,0.48,0.473,3.0,3.7,0.804,17.0,1993,0.0,1993-01-01
Mahmoud Abdul-Rauf,7.4,16.0,0.46,0.5,1.7,0.316,6.8,14.3,0.476,0.476,2.7,2.9,0.956,18.0,1994,0.0,1994-01-01
Kevin Brooks,1.1,2.9,0.364,0.1,0.7,0.174,0.9,2.2,0.421,0.384,0.3,0.3,0.9,2.5,1994,0.0,1994-01-01
Bison Dele,3.1,5.8,0.541,0.0,0.0,0.0,3.1,5.8,0.544,0.541,1.7,2.6,0.649,8.0,1994,0.0,1994-01-01
Laphonso Ellis,6.1,12.2,0.502,0.1,0.3,0.304,6.0,11.9,0.506,0.505,3.1,4.5,0.674,15.4,1994,0.0,1994-01-01
Jim Farmer,0.5,1.5,0.333,0.0,0.5,0.0,0.5,1.0,0.5,0.333,0.0,0.0,0.0,1.0,1994,0.0,1994-01-01
Tom Hammonds,1.6,3.1,0.5,0.0,0.0,0.0,1.6,3.1,0.5,0.5,1.0,1.4,0.683,4.1,1994,0.0,1994-01-01
Adonis Jordan,1.0,3.8,0.261,0.5,1.7,0.3,0.5,2.2,0.231,0.326,0.0,0.0,0.0,2.5,1994,0.0,1994-01-01
Roy Marble,0.4,2.4,0.167,0.0,0.0,0.0,0.4,2.4,0.167,0.167,0.0,0.6,0.0,0.8,1994,0.0,1994-01-01
Darnell Mee,0.7,2.3,0.318,0.1,0.6,0.208,0.6,1.7,0.359,0.347,0.3,0.7,0.444,1.9,1994,0.0,1994-01-01
Dikembe Mutombo,4.5,7.8,0.569,0.0,0.0,0.0,4.5,7.8,0.569,0.569,3.1,5.4,0.583,12.0,1994,0.0,1994-01-01
Robert Pack,3.4,7.6,0.443,0.1,0.4,0.207,3.3,7.2,0.458,0.449,2.7,3.6,0.758,9.6,1994,0.0,1994-01-01
Mark Randall,0.6,1.8,0.34,0.1,0.5,0.143,0.5,1.3,0.417,0.36,0.8,1.0,0.786,2.1,1994,0.0,1994-01-01
Rodney Rogers,3.0,6.9,0.439,0.4,1.2,0.38,2.6,5.7,0.45,0.471,1.6,2.4,0.672,8.1,1994,0.0,1994-01-01
Bryant Stith,4.5,9.9,0.45,0.0,0.1,0.222,4.4,9.8,0.453,0.451,3.5,4.3,0.829,12.5,1994,0.0,1994-01-01
Reggie Williams,5.1,12.4,0.412,0.8,2.8,0.278,4.3,9.6,0.452,0.444,2.0,2.7,0.733,13.0,1994,0.0,1994-01-01
Reggie Williams,5.1,12.4,0.412,0.8,2.8,0.278,4.3,9.6,0.452,0.444,2.0,2.7,0.733,13.0,1994,0.0,1994-01-01
Mahmoud Abdul-Rauf,6.5,13.8,0.47,1.1,2.9,0.386,5.3,10.8,0.492,0.511,1.9,2.1,0.885,16.0,1995,0.0,1995-01-01
Bison Dele,3.1,5.3,0.589,0.0,0.0,0.0,3.1,5.3,0.589,0.589,1.7,2.6,0.654,7.9,1995,0.0,1995-01-01
Dale Ellis,4.3,9.6,0.453,1.3,3.2,0.403,3.0,6.3,0.479,0.522,1.4,1.6,0.866,11.3,1995,0.0,1995-01-01
Laphonso Ellis,1.5,4.2,0.36,0.0,0.0,0.0,1.5,4.2,0.36,0.36,1.0,1.0,1.0,4.0,1995,0.0,1995-01-01
Greg Grant,0.7,2.4,0.303,0.1,0.5,0.286,0.6,1.9,0.308,0.333,0.6,0.9,0.75,2.2,1995,0.0,1995-01-01
Tom Hammonds,2.0,3.7,0.535,0.0,0.0,0.0,2.0,3.7,0.537,0.535,1.9,2.5,0.746,5.9,1995,0.0,1995-01-01
Cliff Levingston,1.0,2.3,0.423,0.0,0.0,0.0,1.0,2.3,0.426,0.423,0.3,0.8,0.422,2.3,1995,0.0,1995-01-01
Darnell Mee,0.5,2.5,0.2,0.5,1.5,0.333,0.0,1.0,0.0,0.3,0.0,0.0,0.0,1.5,1995,0.0,1995-01-01
Dikembe Mutombo,4.3,7.7,0.556,0.0,0.0,0.0,4.3,7.7,0.556,0.556,3.0,4.6,0.654,11.5,1995,0.0,1995-01-01
Robert Pack,4.0,9.4,0.43,0.7,1.7,0.417,3.3,7.7,0.433,0.468,3.3,4.2,0.783,12.1,1995,0.0,1995-01-01
Mark Randall,0.4,1.3,0.3,0.0,0.1,0.0,0.4,1.1,0.333,0.3,0.0,0.0,0.0,0.8,1995,0.0,1995-01-01
Eldridge Recasner,0.3,2.0,0.167,0.0,0.3,0.0,0.3,1.7,0.2,0.167,1.3,1.3,1.0,2.0,1995,0.0,1995-01-01
